Return_Type,Reporting_Period,Year_of_Account,Currency_Code,Currency_Name,Exchange_Rate_to_GBP,Rate_Type,Effective_Date
RRQ,2024-03-31,2022,USD,USD,1.2338,Average,2024-03-31
RRQ,2024-03-31,2022,EUR,EUR,1.2008,Average,2024-03-31
RRQ,2024-03-31,2022,CAD,CAD,1.6516,Average,2024-03-31
RRQ,2024-03-31,2022,AUD,AUD,1.9266,Average,2024-03-31
RRQ,2024-03-31,2022,JPY,JPY,185.8418,Average,2024-03-31
RRQ,2024-03-31,2022,GBP,GBP,0.9844,Average,2024-03-31
RRQ,2024-03-31,2023,USD,USD,1.2401,Average,2024-03-31
RRQ,2024-03-31,2023,EUR,EUR,1.1166,Average,2024-03-31
RRQ,2024-03-31,2023,CAD,CAD,1.713,Average,2024-03-31
RRQ,2024-03-31,2023,AUD,AUD,1.8768,Average,2024-03-31
RRQ,2024-03-31,2023,JPY,JPY,196.4603,Average,2024-03-31
RRQ,2024-03-31,2023,GBP,GBP,0.9579,Average,2024-03-31
RRQ,2024-03-31,2024,USD,USD,1.2437,Average,2024-03-31
RRQ,2024-03-31,2024,EUR,EUR,1.1851,Average,2024-03-31
RRQ,2024-03-31,2024,CAD,CAD,1.7863,Average,2024-03-31
RRQ,2024-03-31,2024,AUD,AUD,1.923,Average,2024-03-31
RRQ,2024-03-31,2024,JPY,JPY,182.6996,Average,2024-03-31
RRQ,2024-03-31,2024,GBP,GBP,0.957,Average,2024-03-31
