Return_Type,Reporting_Quarter,Syndicate_Number,Year_of_Account,LOB_Code,Currency,Gross_Written_Premium,Gross_Earned_Premium,Paid_Claims_Gross,Case_Reserves_Gross,IBNR_Best_Estimate,IBNR_High,IBNR_Low,Ultimate_Loss_Ratio,As_At_Date
RRQ,Q1,2987,2022,A1,GBP,29929174,26139607,6972283,3223848,4487527,6553847,2279083,0.5717,2024-03-31
RRQ,Q1,2987,2022,A2,GBP,9242423,8285155,3819321,1032072,1084708,1308328,660716,0.6771,2024-03-31
RRQ,Q1,2987,2022,D1,GBP,38059478,33244192,12244877,3029554,4891334,8505775,4460898,0.5732,2024-03-31
RRQ,Q1,2987,2022,D2,GBP,41251704,38125934,11670614,3699410,4439767,7788205,4215250,0.6338,2024-03-31
RRQ,Q1,2987,2022,E1,GBP,23773043,21087949,7052174,2580726,4248254,2909052,2683879,0.5565,2024-03-31
RRQ,Q1,2987,2023,A1,GBP,41538485,37986225,12685950,3870665,10425112,11825500,6784264,0.7303,2024-03-31
RRQ,Q1,2987,2023,A2,GBP,11152099,10194919,4408388,777447,2339587,1893186,904968,0.6826,2024-03-31
RRQ,Q1,2987,2023,D1,GBP,42888186,40013896,14354003,4021271,7924266,6250978,5479251,0.591,2024-03-31
RRQ,Q1,2987,2023,D2,GBP,44995650,42108756,10984562,2799343,4957866,5819192,4933782,0.5506,2024-03-31
RRQ,Q1,2987,2023,E1,GBP,6730076,5961664,2469066,616308,594085,981659,461648,0.5764,2024-03-31
RRQ,Q1,2987,2024,A1,GBP,33250184,30742007,11827096,3873603,5504202,4832389,3825110,0.6552,2024-03-31
RRQ,Q1,2987,2024,A2,GBP,46279121,42961958,17066668,3933696,6246762,10155938,2821384,0.5587,2024-03-31
RRQ,Q1,2987,2024,D1,GBP,37143931,33155689,11554962,4576146,6379247,10151034,3963552,0.7195,2024-03-31
RRQ,Q1,2987,2024,D2,GBP,14954514,13122609,4967996,1303937,1810920,3359524,1512350,0.5631,2024-03-31
RRQ,Q1,2987,2024,E1,GBP,35448326,31656061,14723886,2572153,6484370,8667779,4216862,0.6511,2024-03-31
RRQ,Q1,33,2022,A1,GBP,19429953,18241016,6477226,2258273,2839137,4274814,1815130,0.636,2024-03-31
RRQ,Q1,33,2022,A2,GBP,25973101,23049311,7908428,3411411,2899219,6499195,2022106,0.683,2024-03-31
RRQ,Q1,33,2022,D1,GBP,11480329,10186090,3522728,850508,2738725,2506128,1608789,0.6989,2024-03-31
RRQ,Q1,33,2022,D2,GBP,32568900,29850505,12636820,3776564,5947838,7958690,3842313,0.6207,2024-03-31
RRQ,Q1,33,2022,E1,GBP,28598576,25759917,7286354,2419197,5214074,4407253,2994064,0.5707,2024-03-31
RRQ,Q1,33,2023,A1,GBP,12709822,11533019,5733851,1647523,3079667,3247317,1714673,0.7025,2024-03-31
RRQ,Q1,33,2023,A2,GBP,48130810,43842330,19014354,5390524,4959004,8105948,6823384,0.6613,2024-03-31
RRQ,Q1,33,2023,D1,GBP,27805246,24138861,7639086,2858081,2826740,6004582,4238316,0.6202,2024-03-31
