Return_Type,Reporting_Period,Year_of_Account,Currency_Code,Currency_Name,Exchange_Rate_to_GBP,Rate_Type,Effective_Date
RRQ,2024-06-30,2022,USD,USD,1.267,Average,2024-06-30
RRQ,2024-06-30,2022,EUR,EUR,1.186,Average,2024-06-30
RRQ,2024-06-30,2022,CAD,CAD,1.7549,Average,2024-06-30
RRQ,2024-06-30,2022,AUD,AUD,1.8686,Average,2024-06-30
RRQ,2024-06-30,2022,JPY,JPY,195.0095,Average,2024-06-30
RRQ,2024-06-30,2022,GBP,GBP,1.0145,Average,2024-06-30
RRQ,2024-06-30,2023,USD,USD,1.2486,Average,2024-06-30
RRQ,2024-06-30,2023,EUR,EUR,1.2258,Average,2024-06-30
RRQ,2024-06-30,2023,CAD,CAD,1.8015,Average,2024-06-30
RRQ,2024-06-30,2023,AUD,AUD,2.027,Average,2024-06-30
RRQ,2024-06-30,2023,JPY,JPY,196.401,Average,2024-06-30
RRQ,2024-06-30,2023,GBP,GBP,0.973,Average,2024-06-30
RRQ,2024-06-30,2024,USD,USD,1.321,Average,2024-06-30
RRQ,2024-06-30,2024,EUR,EUR,1.1925,Average,2024-06-30
RRQ,2024-06-30,2024,CAD,CAD,1.7315,Average,2024-06-30
RRQ,2024-06-30,2024,AUD,AUD,1.9054,Average,2024-06-30
RRQ,2024-06-30,2024,JPY,JPY,196.4954,Average,2024-06-30
RRQ,2024-06-30,2024,GBP,GBP,1.0184,Average,2024-06-30
