Return_Type,Reporting_Quarter,Syndicate_Number,Year_of_Account,Development_Year,LOB_Code,Currency,Gross_Premium_Written,Net_Premium_Written,Cumulative_Paid_Claims,Case_Reserves,IBNR_Reserve,Total_Incurred,Number_of_Claims,Number_of_Claims_Closed,As_At_Date,Calendar_Period
RRQ,Q2,2987,2022,0,A1,GBP,10407757,8846593,1685483,4045160,2696773,8427416,298,68,2024-06-30,2022
RRQ,Q2,2987,2022,1,A1,GBP,2104000,1788400,384210,428120,285413,1097743,445,58,2024-06-30,2023
RRQ,Q2,2987,2022,2,A1,GBP,1525398,1296588,636539,381923,254615,1273077,310,39,2024-06-30,2024
RRQ,Q2,2987,2022,0,A2,GBP,14364596,12209906,2360246,5664592,3776394,11801232,163,17,2024-06-30,2022
RRQ,Q2,2987,2022,1,A2,GBP,19923297,16934802,3808659,4243934,2829289,10881882,437,71,2024-06-30,2023
RRQ,Q2,2987,2022,2,A2,GBP,19138265,16267525,5575856,3345513,2230342,11151711,396,191,2024-06-30,2024
RRQ,Q2,2987,2022,0,D1,GBP,5695962,4841567,872848,2094836,1396557,4364241,362,75,2024-06-30,2022
RRQ,Q2,2987,2022,1,D1,GBP,3631596,3086856,826591,921058,614039,2361688,187,11,2024-06-30,2023
RRQ,Q2,2987,2022,2,D1,GBP,4277791,3636122,1336457,801874,534582,2672913,439,21,2024-06-30,2024
RRQ,Q2,2987,2022,0,D2,GBP,12428396,10564136,1720257,4128618,2752412,8601287,324,61,2024-06-30,2022
RRQ,Q2,2987,2022,1,D2,GBP,14311145,12164473,4195296,4674758,3116505,11986559,177,7,2024-06-30,2023
RRQ,Q2,2987,2022,2,D2,GBP,10171333,8645633,3882495,2329497,1552998,7764990,240,128,2024-06-30,2024
RRQ,Q2,2987,2022,0,E1,GBP,8655054,7356795,1025320,2460768,1640512,5126600,491,39,2024-06-30,2022
RRQ,Q2,2987,2022,1,E1,GBP,15490412,13166850,2842541,3167403,2111602,8121546,309,120,2024-06-30,2023
RRQ,Q2,2987,2022,2,E1,GBP,13753124,11690155,3330165,1998099,1332066,6660330,326,78,2024-06-30,2024
RRQ,Q2,2987,2023,0,A1,GBP,9269482,7879059,1363065,3271356,2180904,6815325,52,28,2024-06-30,2023
RRQ,Q2,2987,2023,1,A1,GBP,6174796,5248576,1301029,1449718,966479,3717226,411,115,2024-06-30,2024
RRQ,Q2,2987,2023,0,A2,GBP,6176673,5250172,921389,2211334,1474222,4606945,172,37,2024-06-30,2023
RRQ,Q2,2987,2023,1,A2,GBP,4575255,3888966,779224,868279,578852,2226355,492,56,2024-06-30,2024
RRQ,Q2,2987,2023,0,D1,GBP,15922859,13534430,1891530,4539673,3026448,9457651,148,11,2024-06-30,2023
RRQ,Q2,2987,2023,1,D1,GBP,5446197,4629267,924337,1029975,686650,2640962,230,81,2024-06-30,2024
RRQ,Q2,2987,2023,0,D2,GBP,19689316,16735918,2645834,6350002,4233335,13229171,218,11,2024-06-30,2023
RRQ,Q2,2987,2023,1,D2,GBP,1881203,1599022,319892,356451,237634,913977,293,18,2024-06-30,2024
RRQ,Q2,2987,2023,0,E1,GBP,11886075,10103163,1891044,4538506,3025670,9455220,16,30,2024-06-30,2023
RRQ,Q2,2987,2023,1,E1,GBP,14885161,12652386,3152557,3512849,2341899,9007305,53,131,2024-06-30,2024
RRQ,Q2,2987,2024,0,A1,GBP,19774930,16808690,3211777,7708264,5138843,16058884,134,59,2024-06-30,2024
RRQ,Q2,2987,2024,0,A2,GBP,18485366,15712561,1914467,4594721,3063147,9572335,204,18,2024-06-30,2024
RRQ,Q2,2987,2024,0,D1,GBP,5658699,4809894,631021,1514451,1009634,3155106,147,51,2024-06-30,2024
RRQ,Q2,2987,2024,0,D2,GBP,5896760,5012246,560554,1345329,896886,2802769,232,29,2024-06-30,2024
RRQ,Q2,2987,2024,0,E1,GBP,15129849,12860371,1724502,4138807,2759204,8622513,410,8,2024-06-30,2024
RRQ,Q2,33,2022,0,A1,GBP,13117341,11149739,1444691,3467258,2311505,7223454,136,74,2024-06-30,2022
RRQ,Q2,33,2022,1,A1,GBP,17636369,14990913,4243890,4728906,3152604,12125400,110,83,2024-06-30,2023
RRQ,Q2,33,2022,2,A1,GBP,4589397,3900987,1156977,694186,462790,2313953,13,103,2024-06-30,2024
