Return_Type,Reporting_Quarter,Syndicate_Number,Year_of_Account,LOB_Code,Currency,Gross_Written_Premium,Gross_Earned_Premium,Paid_Claims_Gross,Case_Reserves_Gross,IBNR_Best_Estimate,IBNR_High,IBNR_Low,Ultimate_Loss_Ratio,As_At_Date
RRQ,Q2,2987,2022,A1,GBP,49793050,45650971,18213059,4008539,8541369,6959801,3094246,0.5693,2024-06-30
RRQ,Q2,2987,2022,A2,GBP,30978250,27628361,12395276,4127439,5415827,8320142,3790282,0.7137,2024-06-30
RRQ,Q2,2987,2022,D1,GBP,10298583,9633232,2658447,1017742,1641138,2035829,1602595,0.629,2024-06-30
RRQ,Q2,2987,2022,D2,GBP,14895044,13788623,3863703,1696752,2945106,3092683,1016904,0.5741,2024-06-30
RRQ,Q2,2987,2022,E1,GBP,33412208,30682849,8705069,3444720,3394052,6029410,2796550,0.5657,2024-06-30
RRQ,Q2,2987,2023,A1,GBP,9497096,8600916,3047938,1000479,1368394,2066203,548864,0.5674,2024-06-30
RRQ,Q2,2987,2023,A2,GBP,46812709,43450084,13554081,3592424,8228236,9891160,7647206,0.6675,2024-06-30
RRQ,Q2,2987,2023,D1,GBP,11724576,10625612,3708040,1108277,2215762,2316130,1392859,0.735,2024-06-30
RRQ,Q2,2987,2023,D2,GBP,30705612,27856202,11330997,2450977,4821556,6767245,4226211,0.681,2024-06-30
RRQ,Q2,2987,2023,E1,GBP,31958966,30008108,8902825,2206024,5332444,6847900,4181012,0.5578,2024-06-30
RRQ,Q2,2987,2024,A1,GBP,6357806,5908723,1936838,723577,1262918,1323084,965404,0.6176,2024-06-30
RRQ,Q2,2987,2024,A2,GBP,20297963,19230735,6240343,2137935,2387365,3317920,2304804,0.5769,2024-06-30
RRQ,Q2,2987,2024,D1,GBP,17612150,16579079,5870335,1668919,2847753,3089264,1219044,0.6383,2024-06-30
RRQ,Q2,2987,2024,D2,GBP,15668460,14429976,4597064,1570998,2248675,2768165,1112267,0.5631,2024-06-30
RRQ,Q2,2987,2024,E1,GBP,18470545,16160785,7114750,2541522,3854978,3376214,2961871,0.7174,2024-06-30
RRQ,Q2,33,2022,A1,GBP,38898457,36654302,14795898,3040542,6065654,7080770,5975577,0.6294,2024-06-30
RRQ,Q2,33,2022,A2,GBP,36848678,32610195,11043104,4658920,7372468,8306417,3510753,0.6674,2024-06-30
RRQ,Q2,33,2022,D1,GBP,30941983,28942578,10983389,2103849,3365799,4245099,2269788,0.5599,2024-06-30
RRQ,Q2,33,2022,D2,GBP,48727285,41515901,19524198,5442505,4673421,11771433,6069051,0.6319,2024-06-30
RRQ,Q2,33,2022,E1,GBP,45341953,39555277,18756968,6256598,9420232,11008546,4550167,0.7102,2024-06-30
RRQ,Q2,33,2023,A1,GBP,30264839,27114263,10147219,2838713,5540053,7079015,4091326,0.7203,2024-06-30
RRQ,Q2,33,2023,A2,GBP,5493087,5032961,2339747,492407,1001378,1153095,518738,0.6523,2024-06-30
RRQ,Q2,33,2023,D1,GBP,12254772,10828664,3825331,1049620,1626758,2623572,1923403,0.6463,2024-06-30
RRQ,Q2,33,2023,D2,GBP,48719174,42141741,18704731,5643384,9241404,10708534,5644462,0.6098,2024-06-30
RRQ,Q2,33,2023,E1,GBP,49327439,42618559,12344442,4534488,6332800,11549385,4866163,0.6139,2024-06-30
