Return_Type,Reporting_Quarter,Syndicate_Number,Year_of_Account,Development_Year,LOB_Code,Currency,Gross_Premium_Written,Net_Premium_Written,Cumulative_Paid_Claims,Case_Reserves,IBNR_Reserve,Total_Incurred,Number_of_Claims,Number_of_Claims_Closed,As_At_Date,Calendar_Period
RRQ,Q3,2987,2022,0,A1,GBP,3630919,3086281,437473,1049936,699957,2187366,156,48,2024-09-30,2022
RRQ,Q3,2987,2022,1,A1,GBP,5860303,4981257,1635353,1822250,1214833,4672436,337,61,2024-09-30,2023
RRQ,Q3,2987,2022,2,A1,GBP,15153812,12880740,5322847,3193708,2129138,10645693,302,106,2024-09-30,2024
RRQ,Q3,2987,2022,0,A2,GBP,3393910,2884823,326931,784636,523090,1634657,185,24,2024-09-30,2022
RRQ,Q3,2987,2022,1,A2,GBP,11518712,9790905,2325201,2590938,1727292,6643431,159,128,2024-09-30,2023
RRQ,Q3,2987,2022,2,A2,GBP,9974884,8478651,3452077,2071246,1380831,6904154,212,71,2024-09-30,2024
RRQ,Q3,2987,2022,0,D1,GBP,15928312,13539065,2428715,5828918,3885945,12143578,490,38,2024-09-30,2022
RRQ,Q3,2987,2022,1,D1,GBP,18479701,15707745,5408521,6026638,4017758,15452917,221,31,2024-09-30,2023
RRQ,Q3,2987,2022,2,D1,GBP,7170196,6094666,2838267,1702960,1135306,5676533,74,188,2024-09-30,2024
RRQ,Q3,2987,2022,0,D2,GBP,8872782,7541864,1268468,3044325,2029550,6342343,491,77,2024-09-30,2022
RRQ,Q3,2987,2022,1,D2,GBP,3686526,3133547,689306,768084,512056,1969446,213,19,2024-09-30,2023
RRQ,Q3,2987,2022,2,D2,GBP,4206250,3575312,1000071,600042,400028,2000141,459,123,2024-09-30,2024
RRQ,Q3,2987,2022,0,E1,GBP,19402382,16492024,1829761,4391428,2927618,9148807,404,41,2024-09-30,2022
RRQ,Q3,2987,2022,1,E1,GBP,18581944,15794652,4916772,5478689,3652459,14047920,52,20,2024-09-30,2023
RRQ,Q3,2987,2022,2,E1,GBP,9806436,8335470,3418723,2051234,1367489,6837446,53,170,2024-09-30,2024
RRQ,Q3,2987,2023,0,A1,GBP,14081068,11968907,1615797,3877914,2585276,8078987,136,76,2024-09-30,2023
RRQ,Q3,2987,2023,1,A1,GBP,10535340,8955039,2312954,2577292,1718194,6608440,74,25,2024-09-30,2024
RRQ,Q3,2987,2023,0,A2,GBP,18674539,15873358,2933423,7040215,4693477,14667115,24,4,2024-09-30,2023
RRQ,Q3,2987,2023,1,A2,GBP,12973605,11027564,3606034,4018152,2678768,10302954,176,86,2024-09-30,2024
RRQ,Q3,2987,2023,0,D1,GBP,16676411,14174949,2801612,6723869,4482579,14008060,286,28,2024-09-30,2023
RRQ,Q3,2987,2023,1,D1,GBP,19406125,16495206,4265044,4752478,3168319,12185841,495,126,2024-09-30,2024
RRQ,Q3,2987,2023,0,D2,GBP,19095488,16231164,1989042,4773700,3182467,9945209,315,47,2024-09-30,2023
RRQ,Q3,2987,2023,1,D2,GBP,19924179,16935552,4351377,4848677,3232451,12432505,337,116,2024-09-30,2024
RRQ,Q3,2987,2023,0,E1,GBP,18910823,16074199,2170450,5209080,3472720,10852250,187,50,2024-09-30,2023
RRQ,Q3,2987,2023,1,E1,GBP,19108257,16242018,3617154,4030543,2687029,10334726,55,80,2024-09-30,2024
RRQ,Q3,2987,2024,0,A1,GBP,11330342,9630790,1351286,3243088,2162058,6756432,143,16,2024-09-30,2024
RRQ,Q3,2987,2024,0,A2,GBP,11186216,9508283,1016205,2438893,1625929,5081027,277,78,2024-09-30,2024
RRQ,Q3,2987,2024,0,D1,GBP,5573484,4737461,654944,1571866,1047911,3274721,250,55,2024-09-30,2024
RRQ,Q3,2987,2024,0,D2,GBP,1279075,1087213,185493,445184,296789,927466,261,78,2024-09-30,2024
RRQ,Q3,2987,2024,0,E1,GBP,17007714,14456556,1938349,4652038,3101359,9691746,402,45,2024-09-30,2024
RRQ,Q3,33,2022,0,A1,GBP,10828851,9204523,1491785,3580285,2386857,7458927,417,1,2024-09-30,2022
RRQ,Q3,33,2022,1,A1,GBP,19394948,16485705,4069256,4534314,3022876,11626446,220,102,2024-09-30,2023
RRQ,Q3,33,2022,2,A1,GBP,15666855,13316826,4761947,2857168,1904778,9523893,93,185,2024-09-30,2024
RRQ,Q3,33,2022,0,A2,GBP,14076942,11965400,2199862,5279669,3519779,10999310,122,27,2024-09-30,2022
RRQ,Q3,33,2022,1,A2,GBP,3657837,3109161,792336,882889,588593,2263818,132,94,2024-09-30,2023
RRQ,Q3,33,2022,2,A2,GBP,10122279,8603937,2853828,1712297,1141531,5707656,390,138,2024-09-30,2024
RRQ,Q3,33,2022,0,D1,GBP,10020170,8517144,1232804,2958731,1972487,6164022,446,8,2024-09-30,2022
RRQ,Q3,33,2022,1,D1,GBP,7120569,6052483,1257687,1401423,934282,3593392,66,115,2024-09-30,2023
RRQ,Q3,33,2022,2,D1,GBP,16278776,13836959,5673900,3404340,2269560,11347800,149,181,2024-09-30,2024
RRQ,Q3,33,2022,0,D2,GBP,17508646,14882349,1838813,4413151,2942101,9194065,19,16,2024-09-30,2022
RRQ,Q3,33,2022,1,D2,GBP,2665375,2265568,781648,870979,580653,2233280,21,35,2024-09-30,2023
RRQ,Q3,33,2022,2,D2,GBP,4431728,3766968,1247189,748313,498875,2494377,74,185,2024-09-30,2024
