Return_Type,Reporting_Quarter,Syndicate_Number,Year_of_Account,LOB_Code,Currency,Gross_Written_Premium,Gross_Earned_Premium,Paid_Claims_Gross,Case_Reserves_Gross,IBNR_Best_Estimate,IBNR_High,IBNR_Low,Ultimate_Loss_Ratio,As_At_Date
RRQ,Q4,2987,2022,A1,GBP,47030087,43928488,16434730,5107673,11846016,12703651,7738063,0.737,2024-12-31
RRQ,Q4,2987,2022,A2,GBP,39874801,37655958,17883426,4577566,8558940,9187818,5280877,0.7088,2024-12-31
RRQ,Q4,2987,2022,D1,GBP,10740136,10113679,4105944,1512139,2309492,2852370,874444,0.7449,2024-12-31
RRQ,Q4,2987,2022,D2,GBP,34656642,31574760,10294968,2142053,3133058,4091157,4422601,0.561,2024-12-31
RRQ,Q4,2987,2022,E1,GBP,31956494,29566031,8547411,2909396,5128167,3676293,2866297,0.5692,2024-12-31
RRQ,Q4,2987,2023,A1,GBP,33729689,30758881,12289825,4744629,7507470,7121293,3654222,0.726,2024-12-31
RRQ,Q4,2987,2023,A2,GBP,17917202,15251639,6288174,1631354,3258392,3900719,1217685,0.5716,2024-12-31
RRQ,Q4,2987,2023,D1,GBP,39151567,34927140,14533388,3400669,4675794,8460454,2567612,0.6013,2024-12-31
RRQ,Q4,2987,2023,D2,GBP,25915608,23358063,10292364,2346620,4610012,5327189,2105853,0.6669,2024-12-31
RRQ,Q4,2987,2023,E1,GBP,36509206,32284726,11404811,2251445,5969597,7496616,2425414,0.6117,2024-12-31
RRQ,Q4,2987,2024,A1,GBP,39031432,35360330,11601270,3744149,9620833,9141850,3627340,0.7138,2024-12-31
RRQ,Q4,2987,2024,A2,GBP,9590499,8792435,3607958,1175261,1600792,1578713,1107478,0.6183,2024-12-31
RRQ,Q4,2987,2024,D1,GBP,27525793,24549416,8314532,2694957,5704530,3862558,2462962,0.6732,2024-12-31
RRQ,Q4,2987,2024,D2,GBP,5248106,4824699,1920599,431503,875533,1257975,790340,0.6778,2024-12-31
RRQ,Q4,2987,2024,E1,GBP,30227014,26249878,12452002,2434819,2943368,3680474,2095304,0.5911,2024-12-31
RRQ,Q4,33,2022,A1,GBP,24500239,22371987,10533815,2125966,5394404,3749214,2229524,0.6381,2024-12-31
RRQ,Q4,33,2022,A2,GBP,19693152,18154795,7187066,2225806,2659050,2925231,3242153,0.7271,2024-12-31
RRQ,Q4,33,2022,D1,GBP,11790760,10820913,3356582,1167972,1125187,2530278,952463,0.5542,2024-12-31
RRQ,Q4,33,2022,D2,GBP,21116189,18735022,5947292,2011723,4081670,4277136,2174632,0.6239,2024-12-31
RRQ,Q4,33,2022,E1,GBP,9387411,8807947,2365538,640686,1381451,1825003,795405,0.5737,2024-12-31
RRQ,Q4,33,2023,A1,GBP,33825952,29579271,10434921,4074610,4735655,7742979,5507643,0.7454,2024-12-31
RRQ,Q4,33,2023,A2,GBP,26990273,24640659,7830941,1822485,4071482,5125740,2804588,0.5994,2024-12-31
RRQ,Q4,33,2023,D1,GBP,10463178,9721335,4323157,863523,1683675,2784767,1573073,0.7069,2024-12-31
RRQ,Q4,33,2023,D2,GBP,30116572,26997300,9716065,2688304,5653020,6714115,3408985,0.6497,2024-12-31
RRQ,Q4,33,2023,E1,GBP,23007687,21024667,9767177,2528812,2934502,5809178,2572319,0.6662,2024-12-31
RRQ,Q4,33,2024,A1,GBP,20729283,18254204,8694262,2049451,4396607,3584345,2381327,0.6292,2024-12-31
RRQ,Q4,33,2024,A2,GBP,14014754,12326043,5453598,1207404,1552993,2968533,1476707,0.7003,2024-12-31
RRQ,Q4,33,2024,D1,GBP,35276244,31427439,14559074,2989718,5141105,5355375,3066140,0.6435,2024-12-31
RRQ,Q4,33,2024,D2,GBP,48309031,45417618,13333657,4100296,7080545,5887435,3862410,0.5652,2024-12-31
RRQ,Q4,33,2024,E1,GBP,20283479,17385677,4754755,1386969,2187724,3071910,1680200,0.5697,2024-12-31
RRQ,Q4,1183,2022,A1,GBP,23419004,21320740,6079014,2554961,4038866,4250812,1916846,0.5881,2024-12-31
RRQ,Q4,1183,2022,A2,GBP,25097370,22202720,10638371,2961193,4784201,5350152,1548970,0.6064,2024-12-31
RRQ,Q4,1183,2022,D1,GBP,48895306,45282727,14191122,4458827,6233888,11161462,5461149,0.6525,2024-12-31
RRQ,Q4,1183,2022,D2,GBP,39616453,35863250,14294059,4797276,5767418,5742122,5998460,0.6674,2024-12-31
RRQ,Q4,1183,2022,E1,GBP,33775809,31066790,11006740,3447896,6222725,6537814,4437796,0.704,2024-12-31
