Return_Type,Reporting_Period,Year_of_Account,Currency_Code,Currency_Name,Exchange_Rate_to_GBP,Rate_Type,Effective_Date
RRQ,2024-12-31,2022,USD,USD,1.3263,Average,2024-12-31
RRQ,2024-12-31,2022,EUR,EUR,1.1962,Average,2024-12-31
RRQ,2024-12-31,2022,CAD,CAD,1.6582,Average,2024-12-31
RRQ,2024-12-31,2022,AUD,AUD,1.8743,Average,2024-12-31
RRQ,2024-12-31,2022,JPY,JPY,192.92,Average,2024-12-31
RRQ,2024-12-31,2022,GBP,GBP,1.0433,Average,2024-12-31
RRQ,2024-12-31,2023,USD,USD,1.2728,Average,2024-12-31
RRQ,2024-12-31,2023,EUR,EUR,1.2085,Average,2024-12-31
RRQ,2024-12-31,2023,CAD,CAD,1.7973,Average,2024-12-31
RRQ,2024-12-31,2023,AUD,AUD,2.0342,Average,2024-12-31
RRQ,2024-12-31,2023,JPY,JPY,183.8216,Average,2024-12-31
RRQ,2024-12-31,2023,GBP,GBP,1.0385,Average,2024-12-31
RRQ,2024-12-31,2024,USD,USD,1.2367,Average,2024-12-31
RRQ,2024-12-31,2024,EUR,EUR,1.1258,Average,2024-12-31
RRQ,2024-12-31,2024,CAD,CAD,1.7728,Average,2024-12-31
RRQ,2024-12-31,2024,AUD,AUD,1.9167,Average,2024-12-31
RRQ,2024-12-31,2024,JPY,JPY,190.0895,Average,2024-12-31
RRQ,2024-12-31,2024,GBP,GBP,0.989,Average,2024-12-31
