Return_Type,Reporting_Quarter,Syndicate_Number,Year_of_Account,Development_Year,LOB_Code,Currency,Gross_Premium_Written,Net_Premium_Written,Cumulative_Paid_Claims,Case_Reserves,IBNR_Reserve,Total_Incurred,Number_of_Claims,Number_of_Claims_Closed,As_At_Date,Calendar_Period
RRQ,Q4,2987,2022,0,A1,GBP,8916768,7579252,1469840,3527616,2351744,7349200,121,15,2024-12-31,2022
RRQ,Q4,2987,2022,1,A1,GBP,4584083,3896470,834402,929762,619841,2384005,150,80,2024-12-31,2023
RRQ,Q4,2987,2022,2,A1,GBP,14702809,12497387,4055934,2433560,1622373,8111867,311,16,2024-12-31,2024
RRQ,Q4,2987,2022,0,A2,GBP,17453703,14835647,2315715,5557716,3705144,11578575,368,12,2024-12-31,2022
RRQ,Q4,2987,2022,1,A2,GBP,11619640,9876694,2717883,3028499,2018999,7765381,253,123,2024-12-31,2023
RRQ,Q4,2987,2022,2,A2,GBP,9266023,7876119,3870075,2322045,1548030,7740150,460,39,2024-12-31,2024
RRQ,Q4,2987,2022,0,D1,GBP,13180192,11203163,1687298,4049516,2699677,8436491,198,32,2024-12-31,2022
RRQ,Q4,2987,2022,1,D1,GBP,1707133,1451063,423122,471479,314319,1208920,473,110,2024-12-31,2023
RRQ,Q4,2987,2022,2,D1,GBP,2168010,1842808,852666,511599,341066,1705331,349,16,2024-12-31,2024
RRQ,Q4,2987,2022,0,D2,GBP,9042186,7685858,996798,2392315,1594877,4983990,206,32,2024-12-31,2022
RRQ,Q4,2987,2022,1,D2,GBP,13175396,11199086,3741048,4168596,2779064,10688708,360,23,2024-12-31,2023
RRQ,Q4,2987,2022,2,D2,GBP,18948624,16106330,7548953,4529372,3019581,15097906,449,115,2024-12-31,2024
RRQ,Q4,2987,2022,0,E1,GBP,14034924,11929685,1271975,3052740,2035160,6359875,211,27,2024-12-31,2022
RRQ,Q4,2987,2022,1,E1,GBP,11096131,9431711,1887840,2103593,1402395,5393828,431,137,2024-12-31,2023
RRQ,Q4,2987,2022,2,E1,GBP,8900741,7565629,2532123,1519274,1012849,5064246,450,43,2024-12-31,2024
RRQ,Q4,2987,2023,0,A1,GBP,15725223,13366439,2209523,5302855,3535236,11047614,460,79,2024-12-31,2023
RRQ,Q4,2987,2023,1,A1,GBP,14632790,12437871,3921652,4369841,2913227,11204720,150,16,2024-12-31,2024
RRQ,Q4,2987,2023,0,A2,GBP,17498441,14873674,2234328,5362388,3574925,11171641,221,35,2024-12-31,2023
RRQ,Q4,2987,2023,1,A2,GBP,15172251,12896413,4251971,4737910,3158607,12148488,429,19,2024-12-31,2024
RRQ,Q4,2987,2023,0,D1,GBP,6380229,5423194,930738,2233772,1489181,4653691,269,7,2024-12-31,2023
RRQ,Q4,2987,2023,1,D1,GBP,12806339,10885388,2771571,3088322,2058881,7918774,383,99,2024-12-31,2024
RRQ,Q4,2987,2023,0,D2,GBP,11964526,10169847,1510652,3625565,2417043,7553260,24,79,2024-12-31,2023
RRQ,Q4,2987,2023,1,D2,GBP,2748146,2335924,679595,757263,504842,1941700,104,114,2024-12-31,2024
RRQ,Q4,2987,2023,0,E1,GBP,15878201,13496470,2433835,5841204,3894136,12169175,79,1,2024-12-31,2023
RRQ,Q4,2987,2023,1,E1,GBP,14443980,12277383,2679510,2985740,1990493,7655743,166,57,2024-12-31,2024
RRQ,Q4,2987,2024,0,A1,GBP,3759249,3195361,371662,891990,594660,1858312,137,53,2024-12-31,2024
RRQ,Q4,2987,2024,0,A2,GBP,5365195,4560415,846396,2031350,1354233,4231979,361,43,2024-12-31,2024
RRQ,Q4,2987,2024,0,D1,GBP,11717256,9959667,1477770,3546650,2364433,7388853,457,76,2024-12-31,2024
RRQ,Q4,2987,2024,0,D2,GBP,5479845,4657868,607464,1457915,971943,3037322,361,61,2024-12-31,2024
RRQ,Q4,2987,2024,0,E1,GBP,11991775,10193008,1846281,4431074,2954049,9231404,111,9,2024-12-31,2024
RRQ,Q4,33,2022,0,A1,GBP,14908192,12671963,1780156,4272376,2848250,8900782,211,39,2024-12-31,2022
RRQ,Q4,33,2022,1,A1,GBP,8532538,7252657,1368643,1525059,1016706,3910408,21,101,2024-12-31,2023
RRQ,Q4,33,2022,2,A1,GBP,8674141,7373019,3524901,2114940,1409960,7049801,246,53,2024-12-31,2024
RRQ,Q4,33,2022,0,A2,GBP,9783985,8316387,1429448,3430677,2287118,7147243,96,6,2024-12-31,2022
RRQ,Q4,33,2022,1,A2,GBP,14456498,12288023,3527682,3930846,2620564,10079092,317,48,2024-12-31,2023
RRQ,Q4,33,2022,2,A2,GBP,6008039,5106833,1458825,875295,583530,2917650,198,46,2024-12-31,2024
